"n","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,5,80,9000012,-0.0418569977288697,0.825991537785493,0.842062513522901,-0.0748185782684308,1.30548964513856,1.2099764529899,0.0447244805254819,0.0368314854578552,0.0379603992935893,0.057580368520844,0.0734980884172711,0.0628385910138911,0.0447729255329004,0.036924412763978,0.038104109672833,0.0577143272002745,0.0738877779069949,0.0631581724844777
800,10,80,9000012,-0.0418569977288697,0.825991537785493,0.842062513522901,-0.049767710867398,1.03960989988868,1.05125145304402,0.0447244805254819,0.0368314854578552,0.0379603992935893,0.049667987616136,0.0530055644728497,0.0515612967660926,0.0447729255329004,0.036924412763978,0.038104109672833,0.0497680917578297,0.053234564750539,0.0518433855019224
800,15,80,9000012,-0.0418569977288697,0.825991537785493,0.842062513522901,-0.0464628025324968,0.98754907759852,0.991666608248447,0.0447244805254819,0.0368314854578552,0.0379603992935893,0.0474983685796195,0.0478472027449798,0.0474722395114078,0.0447729255329004,0.036924412763978,0.038104109672833,0.0475751287601651,0.0480255236594082,0.0476936354394304
800,20,80,9000012,-0.0418569977288697,0.825991537785493,0.842062513522901,-0.0538287496970953,1.05512585625555,1.00592233461578,0.0447244805254819,0.0368314854578552,0.0379603992935893,0.0482955195515236,0.0506860473913973,0.0471847512582504,0.0447729255329004,0.036924412763978,0.038104109672833,0.0483711288832116,0.0508598372375487,0.0474026540792806
800,25,80,9000012,-0.0418569977288697,0.825991537785493,0.842062513522901,-0.0457964157138446,0.991354195042103,0.99438329042818,0.0447244805254819,0.0368314854578552,0.0379603992935893,0.047531622827233,0.0477260466393668,0.0472117785928428,0.0447729255329004,0.036924412763978,0.038104109672833,0.0476077242012259,0.0478918808010037,0.0474405019639876
800,5,80,9000013,-0.0683102720431118,0.892169280417057,0.81397553537294,-0.0815761121665464,1.02349396175021,0.881547875868907,0.0459056159541275,0.0450566177043874,0.0406984948292323,0.0468669361374605,0.0549436751285786,0.046686606228167,0.0459575807849938,0.0452500785245148,0.0408310410497003,0.0469362853243732,0.0552369692290623,0.0468615604154736
800,10,80,9000013,-0.0683102720431118,0.892169280417057,0.81397553537294,-0.0746437093838648,1.06348555605281,0.982551143348424,0.0459056159541275,0.0450566177043874,0.0406984948292323,0.04705298557222,0.0539491334827438,0.0486484679123003,0.0459575807849938,0.0452500785245148,0.0408310410497003,0.0471165095347044,0.0541971813221905,0.0488189175597369
800,15,80,9000013,-0.0683102720431118,0.892169280417057,0.81397553537294,-0.0854814680597532,1.06898874429172,0.900455994137909,0.0459056159541275,0.0450566177043874,0.0406984948292323,0.0472515114723799,0.0571409740455972,0.0473416245566876,0.0459575807849938,0.0452500785245148,0.0408310410497003,0.0473258823204824,0.0574675135016224,0.0475282954659257
800,20,80,9000013,-0.0683102720431118,0.892169280417057,0.81397553537294,-0.0799561508543603,1.06667131766091,0.946925156130552,0.0459056159541275,0.0450566177043874,0.0406984948292323,0.0473684262882934,0.0569806958924636,0.0495091168551816,0.0459575807849938,0.0452500785245148,0.0408310410497003,0.0474425858057954,0.0573048079525481,0.0497347675202598
800,25,80,9000013,-0.0683102720431118,0.892169280417057,0.81397553537294,-0.0834941614940859,1.07004117081041,0.921282971359638,0.0459056159541275,0.0450566177043874,0.0406984948292323,0.0474724332103054,0.0580155222947507,0.0490398261219584,0.0459575807849938,0.0452500785245148,0.0408310410497003,0.047550201363445,0.0583645006158209,0.0492676370983055
