"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,2000006,0,1,"ipw","mccs",0.988224407362999,0.1765067450888
2000,30,0.16,2000006,0,1,"dr","naive",0.737628192120515,0.0724734534798153
2000,30,0.16,2000006,0,1,"dr","oracle",0.876296281289312,0.0752303910177049
2000,30,0.16,2000006,0,1,"dr","mccs",0.861669724162865,0.0847125574020734
2000,30,0.16,2000006,1,1,"gfmla","naive",0.610193541154314,0.0157928386319639
2000,30,0.16,2000006,1,1,"gfmla","oracle",0.678621952709572,0.0166549224486613
2000,30,0.16,2000006,1,1,"gfmla","mccs",0.683878965537751,0.017808277690426
2000,30,0.16,2000006,1,1,"ipw","naive",0.628715260571033,0.0233523389490787
2000,30,0.16,2000006,1,1,"ipw","oracle",0.694556790348926,0.0249648927531452
2000,30,0.16,2000006,1,1,"ipw","mccs",0.70857059075504,0.0284376938522
2000,30,0.16,2000006,1,1,"dr","naive",0.626348908155895,0.0196580049129464
2000,30,0.16,2000006,1,1,"dr","oracle",0.696654637993881,0.0208352295289373
2000,30,0.16,2000006,1,1,"dr","mccs",0.70341039475397,0.0235253295663061
2000,30,0.16,2000007,0,0,"gfmla","naive",0.639940858216009,0.0137637476469561
2000,30,0.16,2000007,0,0,"gfmla","oracle",0.744597105525777,0.0130850749214323
2000,30,0.16,2000007,0,0,"gfmla","mccs",0.732285311003114,0.0162410946236832
2000,30,0.16,2000007,0,0,"ipw","naive",0.622881067479607,0.0218345389501792
2000,30,0.16,2000007,0,0,"ipw","oracle",0.721441030909174,0.0226362050126528
2000,30,0.16,2000007,0,0,"ipw","mccs",0.709121322196698,0.0261802702967108
2000,30,0.16,2000007,0,0,"dr","naive",0.628396870451003,0.0155362921893626
2000,30,0.16,2000007,0,0,"dr","oracle",0.739305541289656,0.0149909497260708
2000,30,0.16,2000007,0,0,"dr","mccs",0.723073198196435,0.019119551844408
2000,30,0.16,2000007,1,0,"gfmla","naive",0.639940858216009,0.0137637476469561
2000,30,0.16,2000007,1,0,"gfmla","oracle",0.744597105525777,0.0130850749214323
2000,30,0.16,2000007,1,0,"gfmla","mccs",0.732285311003114,0.0162410946236832
2000,30,0.16,2000007,1,0,"ipw","naive",0.59898508944471,0.0172289826376031
2000,30,0.16,2000007,1,0,"ipw","oracle",0.682359948510471,0.0163502764516114
2000,30,0.16,2000007,1,0,"ipw","mccs",0.672268866791137,0.0200320770435013
2000,30,0.16,2000007,1,0,"dr","naive",0.639745960970493,0.0152649192803306
2000,30,0.16,2000007,1,0,"dr","oracle",0.749389674921514,0.014494220802829
2000,30,0.16,2000007,1,0,"dr","mccs",0.72715293434913,0.0185756477897685
2000,30,0.16,2000007,0,1,"gfmla","naive",0.578192670911286,0.0163759419118135
2000,30,0.16,2000007,0,1,"gfmla","oracle",0.663522661965097,0.0163916886924004
2000,30,0.16,2000007,0,1,"gfmla","mccs",0.647517434849348,0.0184040506007157
2000,30,0.16,2000007,0,1,"ipw","naive",0.622881067479607,0.0218345389501792
2000,30,0.16,2000007,0,1,"ipw","oracle",0.721441030909174,0.0226362050126528
2000,30,0.16,2000007,0,1,"ipw","mccs",0.709121322196698,0.0261802702967108
2000,30,0.16,2000007,0,1,"dr","naive",0.616929479328012,0.0211946303824431
2000,30,0.16,2000007,0,1,"dr","oracle",0.725399211733268,0.0234063949103082
2000,30,0.16,2000007,0,1,"dr","mccs",0.70451952071555,0.0262056923671454
2000,30,0.16,2000007,1,1,"gfmla","naive",0.578192670911286,0.0163759419118135
2000,30,0.16,2000007,1,1,"gfmla","oracle",0.663522661965097,0.0163916886924004
2000,30,0.16,2000007,1,1,"gfmla","mccs",0.647517434849348,0.0184040506007157
2000,30,0.16,2000007,1,1,"ipw","naive",0.59898508944471,0.0172289826376078
2000,30,0.16,2000007,1,1,"ipw","oracle",0.682359948510471,0.0163502764516114
2000,30,0.16,2000007,1,1,"ipw","mccs",0.672268866791137,0.0200320770435013
2000,30,0.16,2000007,1,1,"dr","naive",0.597493167686315,0.0171829794152559
2000,30,0.16,2000007,1,1,"dr","oracle",0.68946689040375,0.0170652085584592
