"n","a","vare","B","seed","est.OL","est.NL","est.CL","est.OG","est.NG","est.CG","ste.OL","ste.NL","ste.CL","ste.OG","ste.NG","ste.CG"
800,3,0.25,80,1000031,0.317781315366366,0.0790891947807368,0.293698505705582,0.311446632906463,0.276662321201076,0.295809785264133,0.190846327687194,0.169483500012937,0.233470974678347,0.0248683293646085,0.0214530028910052,0.0274126262007018
800,3,0.25,80,1000032,0.222556582308706,0.0857393451748709,0.399647479583269,0.337321713708016,0.325103945404621,0.366815179013931,0.210937922180753,0.191426243435555,0.353314589657217,0.0272120256988796,0.0250232840208125,0.0394104079764946
800,3,0.25,80,1000033,0.183769702698414,-0.100420463843112,0.256750945459292,0.349170727903538,0.316164312085359,0.369225878813766,0.205582644548863,0.185632525324969,0.281068222384885,0.0268405567263083,0.0250385214519836,0.0352396322294244
800,3,0.25,80,1000034,0.0561780919488453,-0.167804513567003,-0.0261267006628123,0.303048122798421,0.294123830959906,0.314279738785036,0.193746726010901,0.163769578327167,0.195984111427698,0.0261007145478075,0.022726493321273,0.0274046773083447
800,3,0.25,80,1000035,-0.223160482558464,-0.448153566059454,-0.39025042372738,0.280133844518973,0.260309646516417,0.272536625063471,0.178636818253123,0.15563117994799,0.187081735081267,0.0257720007126642,0.0216576790750694,0.026608457710249
800,3,0.25,80,1000036,0.0855885384218302,-0.112812239300442,0.132193394268296,0.315373762616059,0.297430460453411,0.348306082085538,0.189881748418354,0.169585304347646,0.205721675956295,0.0304632465723161,0.0250593572523642,0.0269739684711328
800,3,0.25,80,1000037,0.296868083969967,0.0107618056622039,0.243814643015395,0.32782412970358,0.285964502132855,0.310913631637183,0.16715595554344,0.160274551393258,0.209918561261016,0.0243535389054278,0.0229180523426446,0.0292597433086239
800,3,0.25,80,1000038,0.0820293804101708,-0.0722502622209853,0.0898197206143803,0.327248732428163,0.303777835762358,0.330008774269593,0.193137154561634,0.166296534702719,0.217060810911302,0.0256698361135353,0.0223487834402329,0.0282378775780997
800,3,0.25,80,1000039,0.13132868844122,-0.149774584885923,0.102651307523009,0.369508851308875,0.308740235051941,0.377338024550832,0.19739386278237,0.177473857581782,0.257238813481199,0.0310121908046403,0.0254483784976292,0.0320530295429808
800,3,0.25,80,1000040,0.0701276396176032,-0.0469521858950102,0.394275801611727,0.325669201983773,0.305168321937017,0.359773442830439,0.198224206762833,0.190596236565671,0.5012472143852,0.0270921491675371,0.0255477637470248,0.0577748457566466
800,3,0.25,80,1000041,0.0958555224749191,-0.202210318829079,-0.0466193429998147,0.33817041079713,0.280082685445429,0.301693837018698,0.180148505415526,0.153978749326595,0.185413555541066,0.0259048238430595,0.0223294356521682,0.027393875216563
800,3,0.25,80,1000042,-0.0165408298217296,-0.0796764346634462,0.104885109062698,0.315227454940968,0.304922421124252,0.330129624382402,0.174324234701737,0.151899982854106,0.18695413093505,0.0250848355413709,0.0222339080589782,0.0268643891011246
800,3,0.25,80,1000043,0.143365758664746,-0.0132419109587277,0.109892979044022,0.336122293254871,0.304856689740821,0.322921425270425,0.172328045459127,0.163774812068601,0.206155520845755,0.0249491152802386,0.0230187827271655,0.0283504186310682
800,3,0.25,80,1000044,0.160535429942397,-0.19706930364928,0.0742865558756103,0.329472080713978,0.294092324560421,0.325506189396304,0.206687710944253,0.190330894719066,0.280655663147967,0.0276854557439693,0.0248979684389897,0.0331847252713451
800,3,0.25,80,1000045,0.28963932841449,-0.0502264469042804,0.125782745367414,0.360097696374938,0.320066397271049,0.346960587034702,0.184982407263756,0.164728392135994,0.217311747119853,0.0267984473058554,0.0239042657239309,0.0307625355398316
800,3,0.25,80,1000046,-0.0529923529992722,-0.20382077987541,0.0458771172753552,0.292608817272147,0.277578509953331,0.303455537082119,0.192986636337137,0.171730184765675,0.211911984935787,0.0248834966253816,0.0229076965359971,0.0288916567472169
800,3,0.25,80,1000047,0.154299708061575,-0.0772231248851516,0.190313537559157,0.32137340507877,0.301158505276411,0.333141864497752,0.197528268633748,0.176951851934747,0.257468999092093,0.0260507702667797,0.0244914094818636,0.0330167014548835
800,3,0.25,80,1000048,-0.0292473996072005,-0.165483585297939,0.0358270320313072,0.309124992224623,0.282212617151181,0.305245042146079,0.188956491117481,0.186360637283027,0.271555937176907,0.0275531633375683,0.0247260466679165,0.0340224637362467
800,3,0.25,80,1000049,0.0324935347335009,-0.123711654549366,0.0756128121340029,0.324620559909344,0.300972771475204,0.326257220629491,0.18478301567863,0.166231899077232,0.221222142984604,0.0263898299708867,0.023643257933387,0.030803671642279
800,3,0.25,80,1000050,-0.169155022025738,-0.330008779981864,-0.169541743701265,0.313597138325282,0.28347595541008,0.316449857671902,0.190336403976165,0.157745913149074,0.19418906103053,0.0309866604251242,0.0238999870046114,0.0288256675754109
800,3,0.25,80,1000051,0.0320807014124289,-0.0980244474064196,0.0797529933671139,0.309931050135714,0.298542888854987,0.321342343433054,0.173706199580577,0.161605853560129,0.226608866355619,0.0266935131395744,0.0236221864723691,0.0329601119023376
800,3,0.25,80,1000052,0.0375829784093313,-0.243227254786082,-0.0543250935376589,0.284041026739506,0.258378445615477,0.276879704254626,0.199969978132889,0.177650803746666,0.240631101210551,0.0254305092954501,0.023737572577793,0.0320720787280417
800,3,0.25,80,1000053,-0.146595790349335,-0.489122120185448,-0.348775651094164,0.29034961360777,0.256407942676277,0.273319820292725,0.203113508694969,0.173191553560159,0.223508223223721,0.0270007111286556,0.0224579568463364,0.0285328888125575
800,3,0.25,80,1000054,0.0305192528476297,-0.181072142395907,-0.0369034993742867,0.333285548792722,0.287703848164789,0.30948463210954,0.217697600413978,0.175266027301144,0.229153246382545,0.0281573204513913,0.0229896795656568,0.0292264839575056
800,3,0.25,80,1000055,-0.0208051434961676,-0.239808563645922,-0.0510432473641416,0.306268962699035,0.276847373219112,0.302587546868953,0.195150435906002,0.16752248050425,0.218165918031339,0.0273292930523835,0.0229242379679191,0.0296081218043103
800,3,0.25,80,1000056,0.378297221253476,0.0747279873223943,0.346607957305738,0.350134484641106,0.31355802427659,0.348063055037292,0.211783975585851,0.170998570954038,0.249445257518271,0.0283797608933961,0.0248192619472868,0.0334727967714266
800,3,0.25,80,1000057,0.256821156259263,0.0817978768979832,0.375634470424334,0.316005865279654,0.289068742760671,0.315445603072623,0.1844425732201,0.171930785535622,0.241151600191732,0.0254177397613238,0.022789199725517,0.029767540704987
800,3,0.25,80,1000058,0.0161137700730443,-0.184864118976876,0.124399133478385,0.315406271550442,0.284050817570123,0.319737925316,0.185132187890741,0.165640010801961,0.248999911223046,0.0258356011398943,0.0227864456742222,0.0307220547525772
800,3,0.25,80,1000059,-0.00256445462411303,-0.17724184916203,0.00739403520082194,0.308779445042578,0.285786370978112,0.304430843698924,0.184105714985559,0.176001896191133,0.235813809393519,0.0244087621625606,0.0235009473306119,0.0302173001259151
800,3,0.25,80,1000060,0.252761380202527,-0.0123668809705413,0.218222112698323,0.354288533129684,0.316533372982257,0.349324195449529,0.181903440228014,0.17128083971527,0.232103187693058,0.0261449999851668,0.0237859068355703,0.029545583179224
800,3,0.25,80,1000061,0.14784455729646,-0.106280511930744,0.0867794942869144,0.342855039054487,0.297740777376759,0.327068287263372,0.180698264368647,0.158219934496591,0.203990598281535,0.0280340437147302,0.0235345644717496,0.0308458664288183
800,3,0.25,80,1000062,0.0636006503664674,-0.0798502959734899,0.210741243435875,0.299190946798419,0.285459524098403,0.316389591251123,0.202717866756631,0.185071165993568,0.283122395345269,0.0263134401940855,0.0242866676322356,0.0334432787576565
800,3,0.25,80,1000063,0.651193840840949,0.358246400699126,0.682845238347555,0.339620712742802,0.302013942524867,0.333334978641137,0.193141229027428,0.17645158017399,0.243230732871605,0.0252280446830122,0.0229035522441136,0.0295146751508007
800,3,0.25,80,1000064,0.320398141457668,0.0140475880583559,0.386602985038249,0.354409875998002,0.313210904081461,0.35668101094218,0.203812097887469,0.185928537038197,0.304718440996437,0.0278922800686029,0.0254421874060791,0.0365316636959735
800,3,0.25,80,1000065,-0.240685706775255,-0.475094047943031,-0.359798814176487,0.301574941149101,0.277159644260484,0.302858296151313,0.193793558208197,0.160303099741246,0.196578817566538,0.0271673410363452,0.0227537079783052,0.0289112693594234
800,3,0.25,80,1000066,0.109821532854405,-0.263153110021836,-0.0774327690100325,0.326021735974637,0.289466751736691,0.316453378760151,0.2255710131987,0.188876137840627,0.273782409095501,0.0296859174839885,0.0260386468445483,0.037788140983409
800,3,0.25,80,1000067,0.240886898759901,0.058398485504334,0.431153574033808,0.363699209280803,0.320166310658972,0.360325353880112,0.192955309944921,0.171199496257679,0.325224987263507,0.0273820936522352,0.0238746979709929,0.0366324039519651
800,3,0.25,80,1000068,0.0790282270061788,-0.133505978369637,0.22352741741607,0.341684296219775,0.309722626192238,0.36124441431637,0.164471232429798,0.151042070980272,0.273881166472968,0.025111162086925,0.0221003132788388,0.0340065378369008
800,3,0.25,80,1000069,0.351977330290469,0.107671746962257,0.48764939321429,0.361843611903497,0.326772521412354,0.372078670335564,0.187377633349964,0.179276988265197,0.30510528477225,0.02679495724549,0.0251652389598691,0.0377818558654041
800,3,0.25,80,1000070,0.141066803399162,-0.0971012491415966,0.104526198683721,0.288162345281789,0.262188972484548,0.281355162186663,0.186554825292129,0.169075297252192,0.213708692588843,0.0245748359102226,0.0218996826882943,0.0275590078614728
800,3,0.25,80,1000071,0.255610165255782,-0.0192594734923948,0.185301515822395,0.361325476074086,0.318076225300288,0.345156191386971,0.176294560765656,0.154437156583638,0.191817610606418,0.0268400344027765,0.0233301891556011,0.0292003854806007
800,3,0.25,80,1000072,0.440720369690519,0.16367070296308,0.520221452392587,0.369967526831655,0.330079731519409,0.368831243317234,0.214397118575402,0.167843995021837,0.268153085885086,0.0279633576621497,0.0238714521309092,0.0323618822945726
800,3,0.25,80,1000073,0.502165845174576,0.251161350059176,0.507417305761503,0.40061603429961,0.374797655254408,0.44275652142511,0.19005322191806,0.159447281878563,0.244120848541381,0.0284300917517174,0.0286554347209303,0.0267612659427131
800,3,0.25,80,1000074,0.0899136691064082,-0.16604500338183,0.0627746730712171,0.339670974761525,0.308739922818092,0.343893362965213,0.184022292061756,0.164674645523395,0.223960285077867,0.0285135584550818,0.0261459740459677,0.0368801288521359
800,3,0.25,80,1000075,0.092283302222232,-0.0653572057487127,0.0286547170584412,0.345835899524215,0.324189942371034,0.343255308428833,0.18442829923269,0.155662094307386,0.193673261890392,0.0267195703525263,0.0230245382115443,0.0282554371552506
800,3,0.25,80,1000076,-0.2856688894716,-0.389094790117417,-0.314825211908833,0.325026539849486,0.299298491526129,0.327296021159737,0.183978537774652,0.155732621378557,0.189609926439541,0.0275652317494758,0.0230004975316632,0.0311929472246422
800,3,0.25,80,1000077,0.258906868452556,0.0428455815421616,0.240872121545685,0.372682488679222,0.336917429562824,0.368603725551609,0.175879073188924,0.149194479895538,0.186364852276372,0.0264612600001995,0.0230762914694093,0.028814402337339
800,3,0.25,80,1000078,0.223763824200165,0.119249686986231,0.567320922093864,0.311611122433601,0.297385939197045,0.339263823787623,0.194300041267341,0.181436363694276,0.398590131613869,0.0256051245233584,0.0229015266531957,0.0390035750658398
800,3,0.25,80,1000079,0.224841122555711,0.0294085448731316,0.268189737076074,0.312858417718008,0.29485122421067,0.326032385460367,0.195135908469214,0.173907228221931,0.225002633687643,0.0294094908184077,0.0248067695848064,0.0341917474165708
800,3,0.25,80,1000080,0.233946140565091,-0.0970296675966833,0.114214574097915,0.375324066143506,0.333891064355529,0.377628676499981,0.184110228472623,0.158225011049702,0.193926584500242,0.0279435078868675,0.0260221088218212,0.0354058177976642
800,3,0.25,80,1000081,0.449830662666145,0.194173258716134,0.671296113917755,0.386329937489546,0.343935537367215,0.397658987363544,0.227317892282429,0.201507718663489,0.372327302775758,0.0294137313673392,0.0277932751552643,0.0435506124898013
800,3,0.25,80,1000082,0.0081207369141989,-0.113798705050319,0.0516568068504819,0.323368376540104,0.307059507029614,0.335201857108233,0.17888689135416,0.166948584853727,0.208187269876874,0.0270016308347908,0.0240266002379243,0.0302755670078209
800,3,0.25,80,1000083,0.426668576782251,0.157953765324033,0.422592465784764,0.39181234228292,0.348669133879383,0.390325103467625,0.195496935743265,0.163290734109632,0.220263972391801,0.0290761308250781,0.0248660151863517,0.0320462906052115
