"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,7000039,0.455702284576819,0.35374347811595,0.278554648541026,0.18193781785678,0.0357364671596134,0.152119631886364,0.109776007474093,0.0803886687393451,0.0378088867839016,0.176911177578734,0.118315848664525,0.0807383498830784
800,0.05,80,5,6,7000039,0.483472589553653,0.155875525162987,0.224416402151041,0.175711422601168,0.0342327788607671,0.0830940868987197,0.107413484706277,0.0719122196641595,0.0347032101939556,0.0864818820157694,0.10986553456597,0.0722259278079643
800,0.05,80,5,10,7000039,0.489794677251433,0.118872667039897,0.227031941949111,0.171444356483431,0.0409450734596323,0.0868175578886923,0.126024552632878,0.0677319537256083,0.0415693763925728,0.0889037376181894,0.128767673352458,0.0679020011912243
800,0.05,80,5,14,7000039,0.480669175697097,0.183269377505471,0.231534010918619,0.177981504786043,0.0348232533379586,0.0935502438206642,0.10922039690648,0.0745611947643355,0.0354499819037185,0.098663785356484,0.112094263244946,0.0749317434527732
800,0.05,80,5,18,7000039,0.467388129431701,0.201455536883156,0.182945337543463,0.171532711429422,0.0352785092774954,0.104668208984681,0.0949157123486861,0.0727195262851729,0.0361165432194076,0.110094160455301,0.0967463310566584,0.0730951832569713
800,0.05,80,5,2,7000040,0.457988192429238,0.107492706500486,0.0838939700030722,0.130635121206202,0.0280378265701007,0.0563007104978261,0.0605471841187731,0.061181440917476,0.0281324732056889,0.0566349306682368,0.0607955954561489,0.0613611704626351
800,0.05,80,5,6,7000040,0.451375128411893,0.142466776554667,0.0990784741037037,0.134168122291081,0.036938817512786,0.086023640166209,0.102793059299758,0.0668829705834723,0.0373272958495233,0.0873372911494197,0.103772098602473,0.0671012762301691
800,0.05,80,5,10,7000040,0.45082731966153,0.153962968139379,0.109960152515943,0.135878742539758,0.0353128331098878,0.0916673747165808,0.0893639391557142,0.0665252294123544,0.0356480016079112,0.0931831856840559,0.0901469570569958,0.066753685140683
800,0.05,80,5,14,7000040,0.444061949678884,0.183312331364729,0.11404546396843,0.135001672460595,0.0398569028112537,0.114095521120991,0.105205902028748,0.0696541626983985,0.0404074997134217,0.116922161570539,0.106594286040509,0.0699163688064603
800,0.05,80,5,18,7000040,0.444469671316098,0.169442699386892,0.0958615876980472,0.137140222069411,0.0361565728309692,0.0949216138340906,0.0876895189363885,0.0655153868029338,0.0365186919385437,0.0966300543106477,0.0883633694175467,0.0657317688575425
