"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,1000005,0,0,"gfmla","naive",0.661021152247924,0.0137584131231099
2000,30,0.16,1000005,0,0,"gfmla","oracle",0.761652950763254,0.0131151945900125
2000,30,0.16,1000005,0,0,"gfmla","mccs",0.76373673773083,0.0164090982175596
2000,30,0.16,1000005,0,0,"ipw","naive",0.664771593259292,0.0379493960187631
2000,30,0.16,1000005,0,0,"ipw","oracle",0.74409509165254,0.054042492178345
2000,30,0.16,1000005,0,0,"ipw","mccs",0.776307538304026,0.0516434114526212
2000,30,0.16,1000005,0,0,"dr","naive",0.680652525221586,0.0167099810130115
2000,30,0.16,1000005,0,0,"dr","oracle",0.770303457598296,0.017243666102443
2000,30,0.16,1000005,0,0,"dr","mccs",0.789404956283355,0.0194485690307181
2000,30,0.16,1000005,1,0,"gfmla","naive",0.661021152247924,0.0137584131231099
2000,30,0.16,1000005,1,0,"gfmla","oracle",0.761652950763254,0.0131151945900125
2000,30,0.16,1000005,1,0,"gfmla","mccs",0.76373673773083,0.0164090982175596
2000,30,0.16,1000005,1,0,"ipw","naive",0.603350489669988,0.0155730132208449
2000,30,0.16,1000005,1,0,"ipw","oracle",0.676504811650027,0.0162834731296316
2000,30,0.16,1000005,1,0,"ipw","mccs",0.676118993351372,0.0175433460913265
2000,30,0.16,1000005,1,0,"dr","naive",0.660950404110697,0.0144762921704053
2000,30,0.16,1000005,1,0,"dr","oracle",0.763551716855839,0.013608767379035
2000,30,0.16,1000005,1,0,"dr","mccs",0.758785616779215,0.0171474965933896
2000,30,0.16,1000005,0,1,"gfmla","naive",0.606193363099506,0.0156399016841225
2000,30,0.16,1000005,0,1,"gfmla","oracle",0.688558369753337,0.0158550039348606
2000,30,0.16,1000005,0,1,"gfmla","mccs",0.681070809179059,0.0179124603275016
2000,30,0.16,1000005,0,1,"ipw","naive",0.664771593259292,0.0379493960187631
2000,30,0.16,1000005,0,1,"ipw","oracle",0.74409509165254,0.054042492178345
2000,30,0.16,1000005,0,1,"ipw","mccs",0.776307538304026,0.0516434114526212
2000,30,0.16,1000005,0,1,"dr","naive",0.665182504558547,0.029208510488537
2000,30,0.16,1000005,0,1,"dr","oracle",0.753537817502676,0.0316937006563339
2000,30,0.16,1000005,0,1,"dr","mccs",0.769778825204482,0.0367838457324188
2000,30,0.16,1000005,1,1,"gfmla","naive",0.606193363099506,0.0156399016841225
2000,30,0.16,1000005,1,1,"gfmla","oracle",0.688558369753337,0.0158550039348606
2000,30,0.16,1000005,1,1,"gfmla","mccs",0.681070809179059,0.0179124603275016
2000,30,0.16,1000005,1,1,"ipw","naive",0.603350489669988,0.0155730132208449
2000,30,0.16,1000005,1,1,"ipw","oracle",0.676504811650027,0.0162834731296316
2000,30,0.16,1000005,1,1,"ipw","mccs",0.676118993351372,0.0175433460913265
2000,30,0.16,1000005,1,1,"dr","naive",0.605844295069304,0.0177179888763123
2000,30,0.16,1000005,1,1,"dr","oracle",0.6914025593166,0.0170663289504363
2000,30,0.16,1000005,1,1,"dr","mccs",0.676594635671229,0.0216439209138292
2000,30,0.16,1000006,0,0,"gfmla","naive",0.650618771608778,0.0136061524789847
2000,30,0.16,1000006,0,0,"gfmla","oracle",0.749465241526007,0.013347032194812
2000,30,0.16,1000006,0,0,"gfmla","mccs",0.740266063400673,0.0156512611839278
2000,30,0.16,1000006,0,0,"ipw","naive",0.692198677705383,0.0347845661264333
2000,30,0.16,1000006,0,0,"ipw","oracle",0.81615377869874,0.040687283106664
2000,30,0.16,1000006,0,0,"ipw","mccs",0.798998244140914,0.0437918335659903
2000,30,0.16,1000006,0,0,"dr","naive",0.670780393213486,0.0147488627064514
2000,30,0.16,1000006,0,0,"dr","oracle",0.76699286736888,0.0152079368489638
2000,30,0.16,1000006,0,0,"dr","mccs",0.771042334331234,0.0174527958965977
2000,30,0.16,1000006,1,0,"gfmla","naive",0.650618771608778,0.0136061524789847
2000,30,0.16,1000006,1,0,"gfmla","oracle",0.749465241526007,0.013347032194812
2000,30,0.16,1000006,1,0,"gfmla","mccs",0.740266063400673,0.0156512611839278
2000,30,0.16,1000006,1,0,"ipw","naive",0.625926629530344,0.0178082317039413
2000,30,0.16,1000006,1,0,"ipw","oracle",0.703723802688118,0.0185599163709472
2000,30,0.16,1000006,1,0,"ipw","mccs",0.705871713598327,0.0206973877184786
2000,30,0.16,1000006,1,0,"dr","naive",0.65968853829302,0.0135862360269501
2000,30,0.16,1000006,1,0,"dr","oracle",0.75498799183304,0.0135381586770718
2000,30,0.16,1000006,1,0,"dr","mccs",0.754349201423445,0.0158168598404166
2000,30,0.16,1000006,0,1,"gfmla","naive",0.603159300566831,0.0160405908907013
2000,30,0.16,1000006,0,1,"gfmla","oracle",0.679086617082608,0.0166670251551082
2000,30,0.16,1000006,0,1,"gfmla","mccs",0.674503383721847,0.0179023110931126
2000,30,0.16,1000006,0,1,"ipw","naive",0.692198677705383,0.0347845661264333
2000,30,0.16,1000006,0,1,"ipw","oracle",0.81615377869874,0.040687283106664
2000,30,0.16,1000006,0,1,"ipw","mccs",0.798998244140914,0.0437918335659903
2000,30,0.16,1000006,0,1,"dr","naive",0.673471239415584,0.0249921205969665
2000,30,0.16,1000006,0,1,"dr","oracle",0.784568322092606,0.0266228406833381
2000,30,0.16,1000006,0,1,"dr","mccs",0.776910192202923,0.0312102244259092
2000,30,0.16,1000006,1,1,"gfmla","naive",0.603159300566831,0.0160405908907013
2000,30,0.16,1000006,1,1,"gfmla","oracle",0.679086617082608,0.0166670251551082
2000,30,0.16,1000006,1,1,"gfmla","mccs",0.674503383721847,0.0179023110931126
2000,30,0.16,1000006,1,1,"ipw","naive",0.625926629530344,0.0178082317039413
2000,30,0.16,1000006,1,1,"ipw","oracle",0.703723802688118,0.0185599163709472
2000,30,0.16,1000006,1,1,"ipw","mccs",0.705871713598327,0.0206973877184786
2000,30,0.16,1000006,1,1,"dr","naive",0.612664623434069,0.0163124397258751
2000,30,0.16,1000006,1,1,"dr","oracle",0.693578651466207,0.0168990970802093
2000,30,0.16,1000006,1,1,"dr","mccs",0.690725305325887,0.0191015099399969
2000,30,0.16,1000007,0,0,"gfmla","naive",0.641964269296708,0.0127591650834081
2000,30,0.16,1000007,0,0,"gfmla","oracle",0.742897696452467,0.0127276399194116
2000,30,0.16,1000007,0,0,"gfmla","mccs",0.738138275892267,0.0151755031371911
2000,30,0.16,1000007,0,0,"ipw","naive",0.686047197452102,0.0349186577293081
2000,30,0.16,1000007,0,0,"ipw","oracle",0.781062125660697,0.0392939448436294
2000,30,0.16,1000007,0,0,"ipw","mccs",0.794563541835261,0.0451679306262515
2000,30,0.16,1000007,0,0,"dr","naive",0.63294126542769,0.0164316580579599
2000,30,0.16,1000007,0,0,"dr","oracle",0.730002090140219,0.0160287421178868
2000,30,0.16,1000007,0,0,"dr","mccs",0.721628704434923,0.0226862687592294
2000,30,0.16,1000007,1,0,"gfmla","naive",0.641964269296708,0.0127591650834081
2000,30,0.16,1000007,1,0,"gfmla","oracle",0.742897696452467,0.0127276399194116
2000,30,0.16,1000007,1,0,"gfmla","mccs",0.738138275892267,0.0151755031371911
2000,30,0.16,1000007,1,0,"ipw","naive",0.589194414632803,0.0169652218578245
2000,30,0.16,1000007,1,0,"ipw","oracle",0.666628880431738,0.0169660552410475
2000,30,0.16,1000007,1,0,"ipw","mccs",0.663246393278024,0.0199493365142569
2000,30,0.16,1000007,1,0,"dr","naive",0.630306272488857,0.0128649647931756
2000,30,0.16,1000007,1,0,"dr","oracle",0.737043250449856,0.012815770513059
2000,30,0.16,1000007,1,0,"dr","mccs",0.72150371438431,0.0159517628731468
2000,30,0.16,1000007,0,1,"gfmla","naive",0.594954597233979,0.0154051110469995
2000,30,0.16,1000007,0,1,"gfmla","oracle",0.671935245824613,0.0158031583812049
2000,30,0.16,1000007,0,1,"gfmla","mccs",0.670086361303643,0.0176349590587743
2000,30,0.16,1000007,0,1,"ipw","naive",0.686047197452102,0.0349186577293081
2000,30,0.16,1000007,0,1,"ipw","oracle",0.781062125660697,0.0392939448436294
2000,30,0.16,1000007,0,1,"ipw","mccs",0.794563541835261,0.0451679306262515
2000,30,0.16,1000007,0,1,"dr","naive",0.650453325677187,0.02017394768911
2000,30,0.16,1000007,0,1,"dr","oracle",0.753164837952297,0.0210222577010109
2000,30,0.16,1000007,0,1,"dr","mccs",0.742349586203067,0.0259039327676756
