"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
8000,0.78,80,9000003,3,0.337972098067496,0.283889262055455,0.344156330740489,0.00864596980546981,0.00662685137337429,0.0109737014152978,0.00865976389182908,0.00663141432373674,0.011002880161533
800,0.89,80,9000003,3,0.309286556889429,0.275452693107663,0.313014455170827,0.0264273262226028,0.0206849793074327,0.0450334974475605,0.0268245841808172,0.0207850531025674,0.0467724671736607
8000,0.89,80,9000003,3,0.337972098067496,0.280824822891841,0.348333642018257,0.00864596980546981,0.00649089243755274,0.00938370449483417,0.00865976389182908,0.00649494401047525,0.00947708446892712
800,1,80,9000003,3,0.309286556889429,0.273859141943659,0.313112827449177,0.0264273262226028,0.0203869776383243,0.0477812904845068,0.0268245841808172,0.0204782873321062,0.0500552133252992
8000,1,80,9000003,3,0.337972098067496,0.278191155042863,0.349131508018263,0.00864596980546981,0.00637322530906564,0.00924414412049563,0.00865976389182908,0.0063768496186338,0.0170930585702542
800,0.01,80,9000004,3,0.3356181670706,0.335872385588373,0.337620472153225,0.0288882902429409,0.0285569736316891,0.0289662501060889,0.0295096932070063,0.0291732875830599,0.0296107625496337
8000,0.01,80,9000004,3,0.33459653772391,0.333499052834218,0.335197356046148,0.0086728381820655,0.00867591052252695,0.00878677919562632,0.00868558055683474,0.00868864892156721,0.00879993203906424
800,0.12,80,9000004,3,0.3356181670706,0.324620863394418,0.343781461881549,0.0288882902429409,0.0261743604349295,0.03066071991387,0.0295096932070063,0.0266336730156446,0.0314006591848903
8000,0.12,80,9000004,3,0.33459653772391,0.319242027751655,0.336752765690505,0.0086728381820655,0.00823159469412955,0.00955451575138605,0.00868558055683474,0.0082422178987416,0.00957009471470952
800,0.23,80,9000004,3,0.3356181670706,0.314876020253725,0.348193978831433,0.0288882902429409,0.0246228105738002,0.0329880822251535,0.0295096932070063,0.0249815008272978,0.0338572752496816
8000,0.23,80,9000004,3,0.33459653772391,0.30847379924217,0.337585569535071,0.0086728381820655,0.00782539006494183,0.0102785455357304,0.00868558055683474,0.00783420623419378,0.0102965946859771
800,0.34,80,9000004,3,0.3356181670706,0.307164777305906,0.352578285684859,0.0288882902429409,0.0234901389105865,0.0366539946187076,0.0295096932070063,0.023782136990979,0.0379182823037067
8000,0.34,80,9000004,3,0.33459653772391,0.30028476463731,0.338181192199592,0.0086728381820655,0.00749395039681929,0.0109978068782748,0.00868558055683474,0.00750135717126908,0.0110185582929344
800,0.45,80,9000004,3,0.3356181670706,0.300991200701369,0.368819247750706,0.0288882902429409,0.0226178236524206,0.0355736126886536,0.0295096932070063,0.0228624359181566,0.0365440002900231
8000,0.45,80,9000004,3,0.33459653772391,0.293879846421992,0.338627731709893,0.0086728381820655,0.00722429426123532,0.011726240371863,0.00868558055683474,0.00723060232444433,0.0117500301809462
800,0.56,80,9000004,3,0.3356181670706,0.295959824016148,0.589765102472413,0.0288882902429409,0.0219216042687632,0.0335114146729376,0.0295096932070063,0.0221308259255842,1.04046062247757
8000,0.56,80,9000004,3,0.33459653772391,0.288743683198099,0.339010656331307,0.0086728381820655,0.0070025444189521,0.0125259168203068,0.00868558055683474,0.00700798680603583,0.0125533667012877
800,0.67,80,9000004,3,0.3356181670706,0.291788877544052,0.391715091939853,0.0288882902429409,0.0213510141899705,0.0316656982852652,0.0295096932070063,0.0215328249558776,0.0679845389910919
