"n","rel","n.supp","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,100,5,80,9000003,0.0631079472394999,0.476176844922255,0.504360098463356,0.134974111104748,0.689069659814015,0.82630532734843,0.0539426501740959,0.0383428191648006,0.0394747336483791,0.0996870437477388,0.569708539168511,0.444441442445043,0.0539747337697011,0.0385819395443392,0.0396793760383002,0.0999452528888192,0.56463147427065,0.443032257765865
800,0.555555555555556,100,5,80,9000003,0.0637920414996821,0.53237820084524,0.563264809883958,0.123112640836501,0.762793140173223,0.896065669950205,0.0526849104842542,0.0395655135789269,0.0406116205237642,0.0900409809444978,0.403434079241586,0.337698330104757,0.05271682787596,0.0398313579546938,0.0408258990127154,0.0902090731765811,0.400862433621965,0.33663558804453
800,0.611111111111111,100,5,80,9000003,0.0638394960648905,0.589080786223784,0.622713139476179,0.111275048849097,0.821915399642968,0.950754172014396,0.051482878818803,0.0407356320258496,0.0416842526784267,0.0793429027239424,0.273014396470307,0.240715870461838,0.0515159165433415,0.0410255957946194,0.0419057013702383,0.0794837024976391,0.271760072228536,0.240110901456409
800,0.666666666666667,100,5,80,9000003,0.0632329208178461,0.646251654281397,0.682705386879793,0.0999151691531733,0.868483446011767,0.990909549544228,0.050340126959023,0.0418481954296239,0.0426316471889179,0.0699250523688378,0.180542339998012,0.164955489509632,0.0503755299776062,0.0421573089185624,0.0428551633886729,0.0700549135095229,0.180013389494529,0.164743412729207
800,0.722222222222222,100,5,80,9000003,0.0619167062369205,0.703931752238733,0.743161300135745,0.0890318184224901,0.905192992072161,1.01836404418638,0.0492413494065326,0.0428607014730644,0.0433732165154232,0.0623037117045383,0.119403162652125,0.112015120753141,0.0492801008762691,0.0431823175406171,0.0435915606194768,0.0624239765364144,0.119318083668504,0.112088383413719
800,0.777777777777778,100,5,80,9000003,0.0597624942510454,0.762279290771537,0.803868240943526,0.0784862462495782,0.934509127329353,1.03533034788561,0.0481430317490338,0.0436805457476955,0.0438065495820587,0.0562620117966928,0.0819959745674534,0.0789911022869642,0.0481854909902256,0.0440057780583742,0.0440110185654682,0.056369855900648,0.0821966413644202,0.079226835923595
800,0.833333333333333,100,5,80,9000003,0.056508004287498,0.821631977270893,0.864393031698805,0.0680738117738833,0.958463247286601,1.04390800783908,0.0469622166278105,0.0441561555549876,0.0437955601096608,0.0514280154785011,0.0615267033948416,0.0607269566807179,0.0470075966440679,0.0444723828722381,0.0439767608450325,0.051519852742592,0.0618701497217234,0.0609967907972533
800,0.888888888888889,100,5,80,9000003,0.05161681269049,0.882626989325533,0.92388392207204,0.0574197540647609,0.978759991663005,1.04572846163621,0.045558907799285,0.0440565228400068,0.0431438615625481,0.0474560021328619,0.0514249298919827,0.0509707074223019,0.0456045914633026,0.0443455398100027,0.0432925880503302,0.0475284604011218,0.0517703132689933,0.0511848579688848
800,0.944444444444444,100,5,80,9000003,0.0437841999409412,0.94657996980452,0.980389199626525,0.0455234799993585,0.997188001468072,1.04132208114839,0.043681856268555,0.0429657014180796,0.041527547490668,0.0440067582641491,0.0456841741920311,0.0444950016845569,0.0437224252668627,0.0432012984332043,0.0416359941552132,0.044056751407535,0.0459441343832403,0.0446276499015161
800,1,100,5,80,9000003,0.021360652804708,1.022199656142,1.01843389733089,0.0214271938322731,1.0221912916255,1.01843917271241,0.039960865770366,0.0384176196642365,0.0377497653276351,0.0398607732277932,0.0383938290338975,0.0376973544088048,0.0399810734621864,0.0385309967203519,0.0378180455478914,0.0398802360537814,0.0385068462343759,0.0377668154452105
800,0.5,100,5,80,9000004,0.00922163892019724,0.499919177720772,0.468329379580399,-0.038712104092441,0.836271863421069,0.901294106728153,0.0526444413617788,0.0362026037608109,0.0462856528591297,0.099198479569718,1.08792008680755,0.693564058479248,0.0526831770105177,0.0365336851947306,0.0465757301093863,0.098243247178311,1.07951022888411,0.692096325570621
800,0.555555555555556,100,5,80,9000004,0.0106377578121829,0.550229196326664,0.528688272539031,-0.0217864699828596,0.880108646129193,0.951653550645227,0.0513583507107881,0.0375467928503803,0.0463333392076309,0.0732487428190013,0.703997769479631,0.439044018293299,0.0513954486025527,0.0378858252018119,0.0466173293643812,0.0729625319291246,0.698492887908392,0.438029713647927
